#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
gnliafhf-1,Cluster 7,37,110.42
gnlfbjjd-1,Cluster 11,13,82.17
gnkkllhd-1,Cluster 5,24,230.87
gnlogdec-1,Cluster 7,26,99.24
gnlolhak-1,Cluster 5,8,84.69
gnklahem-1,Cluster 19,25,164.87
gnlklbpc-1,Cluster 9,14,54.81
gnlpdhgj-1,Cluster 15,36,108.87
gofmpmfd-1,Cluster 7,26,133.28
gnkkenlm-1,Cluster 7,64,189.30
gnkifngo-1,Cluster 9,17,146.50
gnllgiee-1,Cluster 2,14,104.13
gnnplaci-1,Cluster 1,16,71.45
gnggedfd-1,Cluster 9,20,153.67
gngcmpgb-1,Cluster 1,60,182.18
gnghnonn-1,Cluster 11,8,90.20
gngcjggo-1,Cluster 3,24,105.90
gnlikjom-1,Cluster 11,3,24.28
gnoabhfd-1,Cluster 19,13,83.90
gnoanckc-1,Cluster 1,37,134.74
gnnpnbmb-1,Cluster 3,13,65.09
gngclegp-1,Cluster 6,34,99.47
goajcgkl-1,Cluster 1,54,261.71
gnglgcfc-1,Cluster 13,20,136.07
gngjohgj-1,Cluster 13,56,285.81
gnoajden-1,Cluster 1,14,98.81
gnocgcjm-1,Cluster 18,18,101.00
gngkmnaf-1,Cluster 13,61,261.47
gnocaoam-1,Cluster 18,12,57.30
gnoamlpd-1,Cluster 18,26,140.76
gnglnlae-1,Cluster 19,19,95.61
gnkgoeak-1,Cluster 5,29,176.58
gnkgledl-1,Cluster 11,13,138.57
gogadajl-1,Cluster 19,17,106.71
gnoalfko-1,Cluster 5,11,78.37
gnoamlfl-1,Cluster 15,39,107.69
gnkggjag-1,Cluster 22,11,45.59
gnkjphna-1,Cluster 9,11,139.56
gnllbpbm-1,Cluster 2,28,128.55
gnoabade-1,Cluster 17,26,137.78
gogccomp-1,Cluster 7,21,105.93
gnnpmegp-1,Cluster 1,46,306.61
gnoamanm-1,Cluster 5,8,127.34
gnofpdff-1,Cluster 7,15,79.15
gofjlgia-1,Cluster 1,24,118.57
gnofhbah-1,Cluster 15,32,132.01
gofjljah-1,Cluster 7,15,69.83
gnkgaoik-1,Cluster 7,15,131.11
gnoibnph-1,Cluster 15,13,90.41
goifojgo-1,Cluster 5,15,37.83
gomjbakb-1,Cluster 5,6,66.06
goffjbhb-1,Cluster 9,11,67.07
gomjlkea-1,Cluster 14,17,108.04
goijogop-1,Cluster 2,10,86.45
goiiljnl-1,Cluster 5,23,148.06
gofgenjg-1,Cluster 17,20,127.55
goihogap-1,Cluster 9,9,72.46
goiigcfi-1,Cluster 7,5,74.09
goihogfm-1,Cluster 9,16,117.07
goiigijj-1,Cluster 2,7,54.63
gofgcpmj-1,Cluster 16,29,123.86
goillpmf-1,Cluster 15,32,103.40
gofhapmh-1,Cluster 15,27,46.00
gofhcjaj-1,Cluster 7,28,100.67
goimejkf-1,Cluster 11,8,88.53
gofglboe-1,Cluster 16,36,58.58
gomikbhj-1,Cluster 6,15,48.08
goikccjc-1,Cluster 5,9,54.08
goffmfla-1,Cluster 7,16,63.03
goijkjia-1,Cluster 16,64,112.17
gomkbphc-1,Cluster 9,8,62.49
gomlbdkf-1,Cluster 2,6,48.13
gomjlbbm-1,Cluster 2,10,68.70
gomjhnkb-1,Cluster 5,42,123.96
gomlfhkh-1,Cluster 2,13,71.81
gomkddin-1,Cluster 7,29,149.25
gomjnihp-1,Cluster 2,13,98.43
gpcjkelm-1,Cluster 15,32,96.37
gomjopic-1,Cluster 16,62,153.35
gonfeebc-1,Cluster 15,25,96.32
gomhkcka-1,Cluster 2,9,38.45
gomhgmjb-1,Cluster 2,14,76.31
gomljckh-1,Cluster 5,40,135.47
gomhnegn-1,Cluster 7,45,158.66
gomlhamk-1,Cluster 9,9,33.95
gomldfmo-1,Cluster 5,28,88.99
gomfhgcp-1,Cluster 7,44,135.33
gomgeeje-1,Cluster 15,28,143.68
gojjopmo-1,Cluster 15,24,132.86
goigonpm-1,Cluster 5,51,155.04
gojimjib-1,Cluster 3,11,50.23
goifgdaa-1,Cluster 7,60,221.01
goiknkai-1,Cluster 3,26,172.54
goikelfg-1,Cluster 19,16,95.34
goiloeae-1,Cluster 15,12,62.06
goihbkpc-1,Cluster 5,37,88.99
goikebnj-1,Cluster 15,26,144.60
gofgjfdm-1,Cluster 15,21,75.43
goihglje-1,Cluster 11,17,102.52
gojhnmlc-1,Cluster 7,23,102.83
gogckono-1,Cluster 1,65,278.08
gogconci-1,Cluster 3,16,95.01
gojjfhbh-1,Cluster 16,112,223.22
gojjkmmi-1,Cluster 11,27,113.19
gojidbji-1,Cluster 13,47,255.98
gofeliga-1,Cluster 3,30,192.94
gojjhnoo-1,Cluster 2,6,103.04
gojjbidg-1,Cluster 1,21,108.19
gojdhfog-1,Cluster 3,16,139.10
gojgaebf-1,Cluster 16,14,45.20
gojehdfb-1,Cluster 2,16,94.73
gojdcioi-1,Cluster 9,4,87.49
gojekkpm-1,Cluster 16,33,105.88
gojkkcdf-1,Cluster 5,3,77.67
gojfkacd-1,Cluster 3,13,75.14
gojkhmmf-1,Cluster 15,30,149.76
gojeejgi-1,Cluster 9,18,103.50
gojdicog-1,Cluster 9,1,32.16
gojcgald-1,Cluster 15,5,50.75
gpbladgn-1,Cluster 9,25,154.77
gojbiipi-1,Cluster 16,79,206.92
gojdiaab-1,Cluster 6,29,209.73
gojcebfo-1,Cluster 7,32,71.49
gojcnmjk-1,Cluster 2,18,148.12
gpbmejmo-1,Cluster 16,30,139.45
gojfjccb-1,Cluster 15,1,64.86
gmopdocn-1,Cluster 13,26,139.55
gnpoajap-1,Cluster 13,19,97.48
gmkjgheh-1,Cluster 7,7,21.15
gmdjbjed-1,Cluster 1,20,129.54
gmbgfmnl-1,Cluster 1,35,149.95
gmbekadk-1,Cluster 13,56,278.10
gheljimp-1,Cluster 13,117,478.62
gheliogd-1,Cluster 13,69,261.01
ghgmmfml-1,Cluster 1,56,260.88
gmhonmfh-1,Cluster 1,17,91.81
ghekciam-1,Cluster 1,10,70.93
gmhplgai-1,Cluster 18,31,123.12
gmbehene-1,Cluster 13,46,246.86
ghekbbep-1,Cluster 13,35,183.85
ghemcini-1,Cluster 23,22,121.93
ghlldgil-1,Cluster 16,41,184.08
ghgmlegl-1,Cluster 13,69,304.16
gmbglaco-1,Cluster 13,59,295.37
ghencgpp-1,Cluster 13,78,368.67
ghgmiiei-1,Cluster 13,46,209.01
ghenmnbg-1,Cluster 19,13,91.01
gmicbbfg-1,Cluster 1,35,262.11
ghelifnd-1,Cluster 9,15,157.61
gmbhgemb-1,Cluster 13,37,149.84
gmdcboef-1,Cluster 7,21,98.46
gmdoopcg-1,Cluster 1,30,131.81
gmbfbmcn-1,Cluster 13,42,141.13
gmdmgbnd-1,Cluster 1,29,117.25
gmdccfam-1,Cluster 14,16,75.17
gmbeggap-1,Cluster 1,19,68.84
gmdnflap-1,Cluster 3,20,70.18
gmdnempj-1,Cluster 23,22,84.27
gmckinab-1,Cluster 1,15,45.78
gmdnpfej-1,Cluster 1,15,121.82
gmbgjhki-1,Cluster 1,31,147.62
gmkenomj-1,Cluster 15,53,152.77
gmbhnbak-1,Cluster 13,27,144.83
gmbcbpko-1,Cluster 13,18,142.37
gmkggdfk-1,Cluster 7,23,159.79
gmdjiijb-1,Cluster 9,16,37.52
gmbhdham-1,Cluster 19,15,106.60
gmdpgjde-1,Cluster 22,12,102.79
gmbjncga-1,Cluster 19,26,138.21
gmiabonm-1,Cluster 18,28,156.26
gheicecj-1,Cluster 16,45,127.39
ghlnbgdh-1,Cluster 2,16,53.57
gheikjpf-1,Cluster 16,33,105.86
gmicgbpi-1,Cluster 18,27,160.90
ghekaaof-1,Cluster 13,67,342.66
ghlmdcjk-1,Cluster 16,9,51.25
ghgmllbe-1,Cluster 1,51,323.44
gmicanoe-1,Cluster 1,12,88.35
ghehpmhi-1,Cluster 5,25,126.75
ghepdnhf-1,Cluster 15,34,144.30
gmicmknn-1,Cluster 1,27,181.07
gmbkglnp-1,Cluster 13,23,199.74
gmiejhnl-1,Cluster 1,81,415.60
ghhgkgnk-1,Cluster 13,78,303.21
gheheipp-1,Cluster 16,54,158.33
ghhgeojb-1,Cluster 19,38,220.99
ghgmepae-1,Cluster 13,36,158.12
ghlmmcie-1,Cluster 5,34,114.63
gmkdbdde-1,Cluster 9,24,113.08
gmkcjnpk-1,Cluster 7,64,220.34
gmkfkdbj-1,Cluster 7,21,76.39
gmbhoplk-1,Cluster 1,70,346.62
gmkghklo-1,Cluster 15,22,114.36
gmbcgfam-1,Cluster 13,27,124.46
gmbdcfle-1,Cluster 13,33,165.76
gmkhdegk-1,Cluster 2,12,72.19
gmkephjk-1,Cluster 7,13,46.50
gmbcfngn-1,Cluster 13,37,135.39
gmbkelhk-1,Cluster 23,7,125.03
gmippgak-1,Cluster 15,30,91.93
gmiggdjf-1,Cluster 1,51,238.51
gmbbhido-1,Cluster 7,7,31.35
gmkdcije-1,Cluster 9,12,85.94
gmkjbkcf-1,Cluster 15,28,66.53
gmkccjhn-1,Cluster 7,31,73.74
gmbdccdb-1,Cluster 1,32,186.06
gmkdlkal-1,Cluster 16,36,90.88
gmdacfmd-1,Cluster 21,22,158.75
gmddbdng-1,Cluster 16,23,67.90
gmddhkmo-1,Cluster 16,33,36.67
gmdcelgl-1,Cluster 15,26,101.15
gmdcknoo-1,Cluster 16,45,87.18
gmdcdnlc-1,Cluster 7,27,121.07
gmdemfbj-1,Cluster 17,8,56.33
gmdghmkh-1,Cluster 7,60,180.95
gmdepfbb-1,Cluster 16,24,56.23
gmdfffdi-1,Cluster 15,60,198.24
gmdglakk-1,Cluster 3,12,45.36
gmddcapf-1,Cluster 15,33,88.58
gmdbcfai-1,Cluster 15,42,109.56
gmdbmejk-1,Cluster 16,55,135.34
gmkdoifb-1,Cluster 16,45,103.76
gmdanmam-1,Cluster 16,11,71.26
gmdcjpmj-1,Cluster 2,28,138.63
gmdkhceg-1,Cluster 16,53,158.70
gmddejin-1,Cluster 16,56,107.01
gmddmhid-1,Cluster 15,36,56.96
gnpininc-1,Cluster 5,28,98.35
gnphidml-1,Cluster 15,49,227.36
gnpnedpa-1,Cluster 15,24,122.01
gnppeock-1,Cluster 15,38,110.76
gnpnchhm-1,Cluster 14,17,165.69
gnpipcii-1,Cluster 16,55,106.08
gnphmbcf-1,Cluster 15,23,119.87
gnpimfgl-1,Cluster 16,32,111.04
goaalcfk-1,Cluster 5,21,119.53
gnplaidg-1,Cluster 11,19,152.79
gnpdeaan-1,Cluster 11,20,63.32
gnpgagcf-1,Cluster 14,11,122.75
gnpkpdce-1,Cluster 16,52,87.64
gnpdafel-1,Cluster 15,22,85.02
goadcmce-1,Cluster 2,9,92.00
gnpbnicl-1,Cluster 9,12,71.43
gmdakclf-1,Cluster 5,16,94.64
gnpmgpbg-1,Cluster 16,28,138.05
gnpifnkc-1,Cluster 16,60,160.39
gmjkknpi-1,Cluster 2,5,55.91
gmjgciil-1,Cluster 5,14,96.55
gmkijlbh-1,Cluster 16,87,193.64
gmjicckh-1,Cluster 7,33,79.10
gnpfphfk-1,Cluster 5,44,138.99
gmjekoej-1,Cluster 16,93,199.23
gmkiieea-1,Cluster 2,9,84.36
gmjekjml-1,Cluster 17,10,68.76
gmjekioa-1,Cluster 16,58,141.90
gnpgagmg-1,Cluster 2,20,77.22
gnpgbkdc-1,Cluster 7,5,26.40
gmjjbjif-1,Cluster 7,16,136.84
gmklenid-1,Cluster 9,4,106.40
gnpheclh-1,Cluster 7,33,153.60
gmjkocfk-1,Cluster 7,34,121.41
gmjhljfa-1,Cluster 15,13,43.90
gmkcclja-1,Cluster 5,28,69.98
gmjimddm-1,Cluster 16,78,137.13
gmjfnjnp-1,Cluster 4,5,17.58
gmjimnjh-1,Cluster 5,11,55.94
gmjgdfmf-1,Cluster 2,19,84.88
gnpfnkli-1,Cluster 7,17,65.31
gnpblokj-1,Cluster 1,32,142.20
gnpfgcoj-1,Cluster 15,20,82.69
gnpeaeda-1,Cluster 9,25,115.71
gnpjncnd-1,Cluster 16,35,81.43
gnpdaibg-1,Cluster 17,8,70.24
gnpeongj-1,Cluster 2,16,61.22
goafnifh-1,Cluster 23,19,86.15
gmjgbblg-1,Cluster 9,10,59.61
gmjeplci-1,Cluster 1,17,78.12
gmjednfl-1,Cluster 1,83,340.24
gmjbjljg-1,Cluster 1,14,187.99
gmjdpmjd-1,Cluster 15,37,112.72
gmjkkgjk-1,Cluster 5,7,77.96
gmjcmgba-1,Cluster 3,51,204.44
gnpnmmen-1,Cluster 1,35,184.76
gmjdcnaf-1,Cluster 7,19,110.02
gmippbpd-1,Cluster 15,20,41.72
gmhmpini-1,Cluster 7,18,122.36
ghhhdpak-1,Cluster 1,48,293.18
ghhhohpg-1,Cluster 13,77,343.20
ghhejopk-1,Cluster 7,62,190.81
ghfbgcpp-1,Cluster 16,53,173.49
ghfaloii-1,Cluster 7,12,101.64
ghepckjb-1,Cluster 15,47,150.29
ghhfpfjh-1,Cluster 1,25,102.72
ghfadhnm-1,Cluster 16,42,141.41
ghhgpbbl-1,Cluster 13,36,248.00
ghhhggkm-1,Cluster 1,38,199.68
ghhgaghe-1,Cluster 1,14,88.35
ghfajldf-1,Cluster 7,22,63.30
gheodkaj-1,Cluster 2,15,88.35
ghhcodop-1,Cluster 1,25,85.29
ghjhaldb-1,Cluster 1,28,119.60
ghheacfj-1,Cluster 3,23,119.78
gheoakgp-1,Cluster 15,49,122.53
ghfalihp-1,Cluster 9,8,43.67
ghhembgh-1,Cluster 15,52,164.35
ghjgmnbd-1,Cluster 13,19,135.42
gmjaohpp-1,Cluster 7,11,35.15
gmjanadj-1,Cluster 15,87,193.15
gmipepmm-1,Cluster 9,25,70.33
gmjanegc-1,Cluster 7,23,124.13
gmjakpop-1,Cluster 5,26,86.18
gmihjkha-1,Cluster 13,67,311.96
gmigdmnc-1,Cluster 1,24,76.63
gmjaddjn-1,Cluster 15,27,126.13
gmjadpej-1,Cluster 7,12,99.94
gmienkdi-1,Cluster 13,31,147.35
gmhmmlen-1,Cluster 5,56,136.91
ghhipfgl-1,Cluster 13,40,180.34
gmkiooad-1,Cluster 7,46,122.86
gmjapnal-1,Cluster 9,13,60.63
gmjbifam-1,Cluster 9,4,27.62
gmjbhnhl-1,Cluster 5,10,37.11
gmjbcfbh-1,Cluster 2,6,38.27
gmhmilmn-1,Cluster 1,34,138.75
gmkimfoi-1,Cluster 6,16,70.81
gmfdekoh-1,Cluster 7,57,296.53
ghfgjkfn-1,Cluster 6,17,91.31
ghhlikbe-1,Cluster 16,25,156.66
gmfbgaac-1,Cluster 7,59,309.84
ghjdcphh-1,Cluster 13,62,307.84
gheoaeep-1,Cluster 15,23,85.79
gheoniia-1,Cluster 5,24,94.06
ghhnbibb-1,Cluster 7,17,105.28
gmhlpnpn-1,Cluster 7,33,125.16
ghhhkmam-1,Cluster 5,37,149.07
ghhfphec-1,Cluster 22,42,261.18
ghfgkcjm-1,Cluster 6,30,124.65
ghffddlp-1,Cluster 6,33,170.01
ghfhlhnb-1,Cluster 1,17,94.48
ghhmdonj-1,Cluster 7,46,286.68
ghhjpjdg-1,Cluster 9,55,224.23
ghhlfaaf-1,Cluster 15,135,389.81
ghhlkldi-1,Cluster 8,9,132.11
ghhndilf-1,Cluster 7,15,69.57
gmfgondl-1,Cluster 2,7,61.44
gmfimcje-1,Cluster 9,7,53.01
gmfbkhji-1,Cluster 7,8,48.89
gmfjpeae-1,Cluster 7,16,91.59
gmfkenfn-1,Cluster 11,14,99.07
gmflgfjn-1,Cluster 7,1,27.13
gmfklagf-1,Cluster 7,20,95.97
gmhnokpo-1,Cluster 7,44,133.88
gmfleiln-1,Cluster 15,21,57.90
gmhljoel-1,Cluster 7,63,232.88
gmfaokah-1,Cluster 13,63,290.59
gmfaaoea-1,Cluster 13,45,260.21
gmfaibfn-1,Cluster 13,91,351.22
gmfbheal-1,Cluster 7,22,141.33
gmfhbofg-1,Cluster 5,26,120.11
gmficokl-1,Cluster 5,19,92.74
gmfelhhn-1,Cluster 2,11,72.86
gmfhngpa-1,Cluster 5,10,63.12
gmjmcjlp-1,Cluster 16,35,66.34
gmlmppad-1,Cluster 7,49,163.12
gmlmhddo-1,Cluster 16,31,101.80
gmkinahi-1,Cluster 5,14,43.93
gmkkfpkc-1,Cluster 2,13,109.54
gmkimakh-1,Cluster 5,19,97.19
gmklppfo-1,Cluster 15,21,127.79
gmkjankf-1,Cluster 22,8,59.49
gmkkbinp-1,Cluster 22,18,115.80
gmklfpop-1,Cluster 22,13,106.38
gmjfaneo-1,Cluster 16,24,141.14
gmkjmjml-1,Cluster 7,25,58.54
gmknacni-1,Cluster 2,17,132.69
gmjmlgaa-1,Cluster 9,16,81.86
gmkilcjj-1,Cluster 7,38,163.73
gmlmbndh-1,Cluster 5,32,105.74
gmjmbffm-1,Cluster 15,43,91.41
gmjlpfpl-1,Cluster 16,13,65.64
gmkmapaj-1,Cluster 16,96,200.37
gmllnlkn-1,Cluster 7,12,54.78
gmkmnbcc-1,Cluster 16,14,64.89
gmlfnfgp-1,Cluster 13,62,204.31
gmlogbpe-1,Cluster 11,15,112.18
gmlmefdf-1,Cluster 15,18,124.99
gmlfoihn-1,Cluster 1,37,149.40
gmjdjmdn-1,Cluster 13,55,212.14
gmlfomie-1,Cluster 1,12,46.77
gmjfjaha-1,Cluster 9,11,141.01
gmjeomeg-1,Cluster 7,32,188.44
gmjejnbj-1,Cluster 1,22,55.55
gmjcfndh-1,Cluster 1,24,108.80
gmlnmfkh-1,Cluster 6,28,73.73
gmlogghg-1,Cluster 18,23,75.23
gmljllma-1,Cluster 13,63,319.94
gmlgdloc-1,Cluster 13,31,137.23
gmlggfkn-1,Cluster 1,59,193.61
gmlgnegj-1,Cluster 1,9,66.89
gmlnaalj-1,Cluster 1,23,134.93
gmlnkbip-1,Cluster 9,4,57.67
gmjnipgl-1,Cluster 5,27,81.48
gmjppgdi-1,Cluster 7,7,56.74
gmlpjoeh-1,Cluster 2,19,93.32
gmkbbiea-1,Cluster 7,21,102.68
gmjmjbll-1,Cluster 2,13,44.37
gmkbhiil-1,Cluster 2,13,114.33
gmjllpea-1,Cluster 15,50,99.53
gmjmgppn-1,Cluster 16,37,74.16
gmjmpdhj-1,Cluster 2,17,107.82
gmjohnnk-1,Cluster 15,35,85.18
gmjncfgj-1,Cluster 6,25,98.33
gmjpgipf-1,Cluster 5,30,94.96
gljokdda-1,Cluster 1,11,69.37
gmkbicdl-1,Cluster 1,15,52.53
gmjniijf-1,Cluster 9,20,108.65
gmjkpgjc-1,Cluster 7,23,104.59
gmkbnjef-1,Cluster 7,19,81.51
gmjkoeen-1,Cluster 7,7,64.64
gmjlacal-1,Cluster 7,48,171.74
gmkccfca-1,Cluster 7,34,157.55
gmmbmila-1,Cluster 23,19,66.89
gmmcoffh-1,Cluster 1,26,127.05
gmlemgia-1,Cluster 1,63,297.59
gmmbilbb-1,Cluster 13,42,145.86
gmlpfoja-1,Cluster 1,24,109.95
gmlopial-1,Cluster 5,42,136.56
gmlpjapb-1,Cluster 3,20,57.97
gmleimec-1,Cluster 13,71,334.12
gmlpdolc-1,Cluster 7,25,120.00
gmmbbmha-1,Cluster 13,62,180.62
gmmbnmjh-1,Cluster 1,29,124.94
gmmdajom-1,Cluster 13,26,173.64
gmljoofd-1,Cluster 13,58,194.81
gmleiacc-1,Cluster 1,3,37.12
gmlebngb-1,Cluster 1,15,59.84
gmmbnfpo-1,Cluster 3,15,80.43
gmmaajok-1,Cluster 1,64,293.63
gmleaedm-1,Cluster 1,53,279.15
gnncljom-1,Cluster 6,13,61.82
gnokjigd-1,Cluster 18,19,62.77
goapheei-1,Cluster 1,19,70.45
goajnjpm-1,Cluster 1,5,17.42
goajocec-1,Cluster 1,10,88.11
goappaph-1,Cluster 7,31,125.54
gnfhcidn-1,Cluster 7,24,140.81
goajjggp-1,Cluster 13,23,96.42
gobcjlmb-1,Cluster 3,74,201.13
goaacafc-1,Cluster 14,30,134.61
goaohhak-1,Cluster 13,49,267.09
goabkdhg-1,Cluster 14,19,70.88
goabclfp-1,Cluster 21,14,117.79
gnfidojd-1,Cluster 5,18,75.88
goaldmkh-1,Cluster 13,27,119.29
goamkmml-1,Cluster 23,14,59.29
gobdbagc-1,Cluster 1,20,98.99
gobagmjf-1,Cluster 1,32,159.16
goaoebhg-1,Cluster 19,6,34.43
gobcjbdj-1,Cluster 2,12,53.04
goaafimi-1,Cluster 2,6,90.78
gnppcibl-1,Cluster 7,47,215.86
goalfcjm-1,Cluster 18,11,32.74
gnokhfli-1,Cluster 1,14,90.28
goaipidp-1,Cluster 13,21,100.93
goajheji-1,Cluster 13,40,165.31
gnoebamj-1,Cluster 1,24,127.68
goajginc-1,Cluster 13,37,119.94
gnokbmdh-1,Cluster 1,20,68.02
gnodeflg-1,Cluster 1,26,140.42
gnocmgmb-1,Cluster 1,21,146.30
goajfglk-1,Cluster 13,11,57.50
goajeldd-1,Cluster 18,7,43.11
gnnnbaom-1,Cluster 1,8,58.99
goamjkjh-1,Cluster 19,13,68.18
goajhgfg-1,Cluster 11,7,51.81
goalfkjm-1,Cluster 18,19,90.19
goamnhhl-1,Cluster 18,9,52.39
gnnmnjmo-1,Cluster 23,16,104.25
gnofgapm-1,Cluster 19,13,60.66
goalkhhk-1,Cluster 1,28,114.76
gnochang-1,Cluster 19,16,81.69
goamnold-1,Cluster 18,27,78.69
goafdfge-1,Cluster 2,5,73.16
goafnmpi-1,Cluster 1,27,179.77
goadpiol-1,Cluster 7,15,69.06
gobamkpn-1,Cluster 1,20,141.86
goaglpjb-1,Cluster 18,15,82.26
goapclbp-1,Cluster 1,5,47.81
goadjcii-1,Cluster 2,14,101.12
goadpglj-1,Cluster 2,5,26.25
goapcahi-1,Cluster 1,43,146.90
gobdbkcg-1,Cluster 1,4,21.63
gnpodpnc-1,Cluster 13,26,160.53
gobcifkj-1,Cluster 13,20,119.34
gobefpmo-1,Cluster 1,33,201.31
goahenbi-1,Cluster 1,43,279.33
goaekopd-1,Cluster 18,27,124.23
goaefaeo-1,Cluster 13,17,156.71
goaffopl-1,Cluster 1,11,69.75
gobdplin-1,Cluster 1,17,134.88
gobanhig-1,Cluster 13,100,370.31
gnnbiema-1,Cluster 18,13,44.45
gnnbflim-1,Cluster 1,71,238.75
gnmoiann-1,Cluster 19,12,58.41
gnnmihjh-1,Cluster 9,4,154.08
goanmaac-1,Cluster 13,75,374.45
gnmpaeae-1,Cluster 3,24,112.09
goanfjfl-1,Cluster 2,15,78.51
gnmoknji-1,Cluster 3,8,90.10
gnnokdno-1,Cluster 23,17,125.76
gnnaeijk-1,Cluster 2,17,83.28
gnncgfde-1,Cluster 3,19,115.77
goanepga-1,Cluster 13,56,297.51
gnnchekj-1,Cluster 7,5,23.35
gnnfgije-1,Cluster 2,5,58.67
gnnficlc-1,Cluster 5,21,90.28
goagpicj-1,Cluster 19,19,86.09
gnmhmipk-1,Cluster 3,2,26.27
goaobcfn-1,Cluster 2,15,93.37
goiojpme-1,Cluster 5,35,125.09
goffgnkc-1,Cluster 7,52,195.18
gojhkkpf-1,Cluster 16,65,235.60
gofjlcif-1,Cluster 5,25,105.04
gnogfhha-1,Cluster 9,3,45.43
gnoiiccd-1,Cluster 5,7,19.82
gnokkiik-1,Cluster 2,19,63.68
gnogeifk-1,Cluster 4,13,70.16
gnogpnnh-1,Cluster 7,47,171.28
gnohcflm-1,Cluster 2,7,36.23
gnojkied-1,Cluster 18,20,93.67
gojhdjdb-1,Cluster 13,25,127.50
gnoifdcd-1,Cluster 2,5,34.88
gojlhjdj-1,Cluster 11,21,141.06
gojnobmf-1,Cluster 15,29,129.57
gnnlidfj-1,Cluster 4,12,146.93
gnojkfob-1,Cluster 6,17,82.88
gnojjcca-1,Cluster 4,7,63.67
gnnpccge-1,Cluster 7,13,102.55
gnnpbfdk-1,Cluster 7,34,176.62
gnoijpja-1,Cluster 2,7,41.81
gojaplnb-1,Cluster 15,30,176.30
gojcimfk-1,Cluster 7,30,130.39
gojahagk-1,Cluster 15,3,20.67
gojkhhpk-1,Cluster 7,12,73.50
goingcia-1,Cluster 15,13,99.05
gojdccml-1,Cluster 7,60,305.80
goffbcho-1,Cluster 7,3,24.27
gojjpjlp-1,Cluster 15,12,100.16
gojhddkd-1,Cluster 16,79,208.51
gojibido-1,Cluster 16,12,39.78
goiaambf-1,Cluster 3,29,78.10
gojbcbda-1,Cluster 16,45,196.84
goinfnkf-1,Cluster 15,14,44.17
goiaikgd-1,Cluster 7,18,122.43
goibinim-1,Cluster 7,18,89.45
goiobeji-1,Cluster 2,14,69.49
goinpgoj-1,Cluster 16,71,159.94
goinjlpf-1,Cluster 15,14,78.42
gojphjia-1,Cluster 7,7,66.24
gofhpjdl-1,Cluster 2,16,117.25
gnnompkd-1,Cluster 7,10,134.04
gnnmbejb-1,Cluster 5,3,77.00
gojobbmb-1,Cluster 15,39,173.89
gnnphbnj-1,Cluster 4,2,56.53
gojnigge-1,Cluster 5,4,75.44
gofjcdnj-1,Cluster 6,24,93.71
gofiofcl-1,Cluster 22,14,67.51
gofjiode-1,Cluster 22,9,58.86
gnnlndci-1,Cluster 4,0,39.52
gnmjeglj-1,Cluster 9,13,62.89
gojpmjhb-1,Cluster 7,33,209.10
gnmgmabd-1,Cluster 5,15,65.48
gnmiiohd-1,Cluster 16,65,179.45
gnmjihkl-1,Cluster 4,7,79.21
gnnllhlk-1,Cluster 5,13,126.85
goennpob-1,Cluster 16,53,140.92
gnmhgdic-1,Cluster 7,25,74.83
gojpljgf-1,Cluster 2,18,166.79
goinadlp-1,Cluster 2,9,160.06
goiccdkb-1,Cluster 19,6,78.78
goidiece-1,Cluster 19,5,98.62
goimomkm-1,Cluster 6,23,154.39
goidfemc-1,Cluster 3,17,131.49
goionebo-1,Cluster 9,13,35.38
goiockjl-1,Cluster 7,27,155.14
goiplalo-1,Cluster 15,8,57.20
goocncea-1,Cluster 1,12,76.06
goideacj-1,Cluster 3,20,143.07
goiefode-1,Cluster 1,18,299.06
gokalomo-1,Cluster 7,27,175.09
gokbjipm-1,Cluster 3,9,43.35
goieheao-1,Cluster 1,35,329.45
goieffah-1,Cluster 1,25,207.20
gokaikak-1,Cluster 3,19,116.35
gofehnjp-1,Cluster 4,2,44.00
goimmldd-1,Cluster 4,10,95.25
gnnicabd-1,Cluster 1,50,299.20
gnopjdpd-1,Cluster 19,14,97.61
gnncekae-1,Cluster 7,14,112.20
gnpakano-1,Cluster 13,53,215.66
goblkkob-1,Cluster 23,23,162.37
gobjaodd-1,Cluster 1,27,211.40
gnopijgg-1,Cluster 19,14,103.47
gnpaffig-1,Cluster 13,54,258.86
gnpnenpk-1,Cluster 3,57,233.54
gobdhibe-1,Cluster 1,40,230.88
goagenic-1,Cluster 1,46,226.30
gobejmhk-1,Cluster 18,19,85.94
gobbmncl-1,Cluster 13,24,120.84
gnpajlpd-1,Cluster 1,43,191.95
gobhacih-1,Cluster 1,38,274.27
gnomfdbn-1,Cluster 1,32,152.94
gnpamnbf-1,Cluster 1,40,258.30
gnpbcfpf-1,Cluster 1,42,136.05
gnoljlgm-1,Cluster 1,7,33.58
gobjdchj-1,Cluster 1,64,331.76
gnomgbnh-1,Cluster 23,15,52.88
gnomeppe-1,Cluster 3,31,130.13
gnmeljpa-1,Cluster 2,8,41.62
gnmfckjj-1,Cluster 16,20,85.23
gnndlfmk-1,Cluster 7,13,105.97
gnmofima-1,Cluster 16,14,68.16
gnnfnkam-1,Cluster 16,26,64.03
gnncpono-1,Cluster 7,14,31.54
gnndgibj-1,Cluster 16,13,52.04
gnngchkh-1,Cluster 16,22,95.24
