#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
dmhoocjo-1,Cluster 4,53,205.23
dnmgoopf-1,Cluster 4,16,59.69
dnmfmcdo-1,Cluster 4,8,108.51
gnhhhmen-1,Cluster 4,5,53.43
dnmkbggl-1,Cluster 4,10,105.14
dnmijicc-1,Cluster 4,8,46.57
dnmjihoa-1,Cluster 4,19,83.89
dnmhonnm-1,Cluster 4,13,50.35
dnmhkekb-1,Cluster 4,28,102.70
dnmjkchn-1,Cluster 4,16,107.40
dmiamhoh-1,Cluster 4,14,96.59
dmgnkphc-1,Cluster 4,6,84.25
dmiffcoc-1,Cluster 4,7,26.90
dmgnnafi-1,Cluster 4,10,54.28
dmiaagdp-1,Cluster 4,12,126.28
dmigpknh-1,Cluster 4,5,56.25
dmgmgide-1,Cluster 4,7,42.80
dnmgeknk-1,Cluster 4,9,97.03
dnndgapj-1,Cluster 4,7,89.37
dnniheic-1,Cluster 4,4,30.29
dnnclndc-1,Cluster 4,2,15.75
dnnfceco-1,Cluster 4,3,25.19
dnnhmdoj-1,Cluster 4,1,16.25
dnnbpnkk-1,Cluster 4,9,71.41
dnngbbeg-1,Cluster 4,2,12.23
dnnckdab-1,Cluster 4,15,59.10
doaocmdk-1,Cluster 4,5,12.46
dnnhjmlc-1,Cluster 4,10,76.34
dobamofh-1,Cluster 4,6,74.03
dnnggfne-1,Cluster 4,16,77.91
dnndikaa-1,Cluster 4,7,26.85
dnnenmnn-1,Cluster 4,2,18.10
dnndfcal-1,Cluster 4,13,69.76
dnnibobe-1,Cluster 4,4,12.61
dnneclli-1,Cluster 4,6,28.63
dnncinah-1,Cluster 4,5,16.20
dnniehmb-1,Cluster 4,2,13.35
dnnhafnm-1,Cluster 4,2,20.63
dnnhonbo-1,Cluster 4,4,6.57
doajeama-1,Cluster 4,3,30.32
doaedgdf-1,Cluster 4,1,7.78
doalalnl-1,Cluster 4,20,155.59
doahicee-1,Cluster 4,29,145.89
doanndbh-1,Cluster 4,10,56.29
doadolkd-1,Cluster 4,5,18.58
doampamo-1,Cluster 4,3,55.64
doaobglj-1,Cluster 4,4,57.37
doahmfgd-1,Cluster 4,12,46.47
doacbhpa-1,Cluster 4,16,130.72
doadnnfi-1,Cluster 4,9,98.22
dnnfaeho-1,Cluster 4,11,78.82
doaifpbi-1,Cluster 4,15,101.30
doadjadi-1,Cluster 4,10,41.83
doadfiih-1,Cluster 4,4,28.27
doahoeol-1,Cluster 4,8,26.02
doafeeom-1,Cluster 4,28,108.01
dmhcngaj-1,Cluster 4,29,108.64
dnmgilci-1,Cluster 4,8,158.92
gnhcgjki-1,Cluster 4,10,75.49
dnmkpenj-1,Cluster 4,21,95.93
dnmkfnmf-1,Cluster 4,18,77.42
dnnjmmap-1,Cluster 4,6,28.43
dnnjiamj-1,Cluster 4,4,28.57
dnnincpi-1,Cluster 4,2,50.84
dnmhlbih-1,Cluster 4,13,49.95
dnmijgbj-1,Cluster 4,21,133.76
dnnjgocc-1,Cluster 4,7,47.85
dmgpdign-1,Cluster 4,2,21.73
dmgpagip-1,Cluster 4,13,46.88
dmgoohgh-1,Cluster 4,5,23.01
dmgpjkfb-1,Cluster 4,15,63.89
dnmfkdjd-1,Cluster 4,4,21.96
gnhhfmnm-1,Cluster 4,5,45.15
dmhaeedo-1,Cluster 4,17,60.34
gnhhinil-1,Cluster 4,9,77.40
dnmhamph-1,Cluster 4,33,101.75
dmhabnlb-1,Cluster 4,24,99.92
gnhhjkkb-1,Cluster 4,15,69.60
gnhhkkbc-1,Cluster 4,15,94.15
dobomepk-1,Cluster 4,4,69.61
dnnjnjlf-1,Cluster 4,5,49.27
doabdhpi-1,Cluster 4,17,124.67
docbkcbm-1,Cluster 4,18,93.17
doacohhk-1,Cluster 4,2,28.18
doahhcok-1,Cluster 4,6,91.62
gnhibigf-1,Cluster 4,23,152.46
gnegjhnb-1,Cluster 4,11,128.74
dmhdiimj-1,Cluster 4,16,102.63
dmhceild-1,Cluster 4,3,7.98
dmhadkia-1,Cluster 4,20,98.00
dmhcgmlc-1,Cluster 4,3,19.82
dmhaadci-1,Cluster 4,11,92.84
gnefijkn-1,Cluster 20,3,57.79
dmhbdnkj-1,Cluster 4,7,34.76
dmjdidne-1,Cluster 4,7,90.63
dminpbci-1,Cluster 4,8,30.83
dmicmddm-1,Cluster 4,8,77.03
dmgaanpa-1,Cluster 4,9,57.06
glnoooek-1,Cluster 4,2,59.92
dmffimld-1,Cluster 4,5,78.14
dmfpiome-1,Cluster 4,7,26.17
dmfladfn-1,Cluster 4,5,79.77
dmfieked-1,Cluster 4,5,44.31
dmfhpaij-1,Cluster 4,8,65.43
dmibeikk-1,Cluster 4,3,80.29
dmfmhnej-1,Cluster 4,7,67.59
dmfgpkag-1,Cluster 4,8,67.61
dmgaoebm-1,Cluster 4,2,32.10
dmfgfdbc-1,Cluster 4,3,50.56
dmimjgie-1,Cluster 4,10,57.06
dmffmdlp-1,Cluster 4,10,73.93
glnooaon-1,Cluster 11,10,92.29
dmfkcgnj-1,Cluster 4,9,75.78
dmimknfd-1,Cluster 4,15,84.90
dmfmdfml-1,Cluster 4,6,57.68
dmfphdof-1,Cluster 4,11,78.31
dmhlmalc-1,Cluster 4,6,29.44
dmiajijh-1,Cluster 4,14,61.60
dmhmglcm-1,Cluster 4,4,27.13
dmhlndnn-1,Cluster 4,8,29.38
dmhofmnb-1,Cluster 4,9,78.12
dmhknjcf-1,Cluster 4,9,56.58
dmiadkpm-1,Cluster 4,1,11.43
dmhodmlp-1,Cluster 4,10,40.25
dmhnkaao-1,Cluster 4,10,55.84
dmhoagdf-1,Cluster 4,4,28.29
dmiokidf-1,Cluster 4,4,25.24
dmioigjg-1,Cluster 4,2,7.42
dmjdeaij-1,Cluster 4,4,15.02
dmindbic-1,Cluster 4,3,32.99
dmimgegg-1,Cluster 4,10,59.46
dmjalnhn-1,Cluster 4,7,32.96
dmindmdd-1,Cluster 4,6,29.93
dminhlkm-1,Cluster 4,1,30.83
dmioflaf-1,Cluster 4,6,42.15
dmfpilhf-1,Cluster 4,0,47.48
glnmkdgn-1,Cluster 4,4,29.99
dmgfcgad-1,Cluster 4,14,91.18
glnmolhl-1,Cluster 4,13,107.87
dmgeogkj-1,Cluster 4,1,14.37
dmgemlna-1,Cluster 4,13,40.04
glnnkild-1,Cluster 4,7,71.73
glnmndoa-1,Cluster 4,4,45.32
dmgekifm-1,Cluster 4,7,130.84
dmgdinnm-1,Cluster 4,6,99.77
dmfgfekl-1,Cluster 4,5,47.57
glpjnkah-1,Cluster 1,4,50.79
dmfdcgip-1,Cluster 20,15,156.50
glpjnehl-1,Cluster 20,5,67.84
dmfdpcka-1,Cluster 1,10,103.52
dmfcmecg-1,Cluster 20,19,148.32
dmfeallp-1,Cluster 1,10,47.11
dmgapibe-1,Cluster 1,12,80.03
dmgbcgim-1,Cluster 4,24,165.98
dmgbnjia-1,Cluster 11,4,77.79
dmimdlld-1,Cluster 20,25,151.17
dmilpfmo-1,Cluster 4,6,48.54
dmilaema-1,Cluster 4,3,17.89
dmgfilin-1,Cluster 4,11,86.02
dmgeigki-1,Cluster 4,10,64.92
dmildaek-1,Cluster 4,22,138.08
dmjafimb-1,Cluster 4,10,91.19
dmikoafn-1,Cluster 4,7,47.51
dmgdkagp-1,Cluster 4,3,27.49
dmjdhpkf-1,Cluster 4,3,13.82
gmadomfd-1,Cluster 13,19,198.95
dmepjind-1,Cluster 1,34,203.05
dmgccgjm-1,Cluster 1,13,101.24
gmagehog-1,Cluster 1,16,137.17
dmggbphh-1,Cluster 11,4,35.93
